date,platform,category,product_name,gmv,orders,uv,pv,refund_amount,ad_cost
2024-01-19,京东,女装,春季连衣裙,9474,59,1036,3306,744,2722
2024-05-23,京东,美妆,精华液,6193,47,820,2831,379,1972
2024-07-04,天猫,家居,地毯,10378,55,828,3247,369,2043
2024-09-09,抖音,食品,零食大礼包,7036,63,596,1658,103,2642
2024-12-30,京东,母婴,纸尿裤,3227,19,286,773,56,792
2024-07-20,快手,女装,阔腿裤,7194,71,2284,5471,729,3176
2024-01-01,拼多多,男装,商务衬衫,2682,31,517,1064,235,2199
2024-06-08,拼多多,美妆,防晒霜,9226,75,992,3048,1103,4787
2024-02-23,拼多多,运动户外,跑步鞋,3471,36,326,762,116,1553
2024-05-15,京东,家居,香薰蜡烛,5883,66,827,1307,137,1809
2024-08-07,天猫,女装,阔腿裤,13656,76,925,3544,1492,5366
2024-04-28,京东,母婴,婴儿湿巾,4087,23,407,1467,109,1197
2024-04-08,天猫,女装,真丝衬衫,20763,95,1490,5754,1245,3614
2024-03-18,天猫,美妆,防晒霜,6946,49,721,2195,596,2513
2024-06-02,京东,食品,咖啡豆,11394,93,1257,3648,313,3527
2024-04-21,京东,食品,巧克力,12075,77,779,1434,124,3918
2024-04-07,拼多多,家居,收纳柜,6994,47,617,2134,188,3185
2024-02-20,拼多多,母婴,婴儿湿巾,3885,25,264,699,114,1954
2024-07-23,天猫,家居,收纳柜,10479,127,1246,2945,439,2675
2024-04-02,快手,家居,收纳柜,4458,45,399,718,128,3237
2024-02-03,天猫,美妆,口红套装,4356,85,1422,5406,611,3314
2024-09-13,天猫,家居,香薰蜡烛,8286,118,1515,4614,215,2135
2024-12-30,天猫,女装,阔腿裤,13180,99,1298,3673,640,3439
2024-08-14,京东,女装,羽绒服,11246,165,2707,4664,931,4084
2024-01-13,拼多多,数码,手机壳,10411,50,692,2312,440,4868
2024-08-23,天猫,美妆,眼影盘,13005,66,763,3026,1438,4116
2024-05-29,天猫,美妆,眼影盘,12665,101,813,3201,1254,4030
2024-03-02,快手,家居,台灯,8632,96,947,2186,239,4766
2024-04-22,京东,数码,无线鼠标,15722,131,1468,4381,546,4662
2024-09-17,天猫,运动户外,护膝,4921,37,347,522,151,1257
2024-02-07,京东,美妆,精华液,4308,74,894,3426,1606,4028
2024-02-04,快手,数码,数据线,4074,82,1308,2621,270,7736
2024-01-05,天猫,家居,香薰蜡烛,11568,226,3351,8812,421,2191
2024-05-04,京东,数码,蓝牙耳机,17848,160,1894,5414,1004,4638
2024-07-16,快手,家居,台灯,6073,34,1152,2332,253,4933
2024-02-07,抖音,数码,手机壳,5950,109,1827,4302,786,8642
2024-08-15,京东,家居,地毯,6559,27,326,1118,100,1737
2024-10-18,拼多多,家居,香薰蜡烛,3331,18,227,878,65,1558
2024-07-28,拼多多,女装,真丝衬衫,7030,54,928,3224,294,3135
2024-04-01,京东,女装,阔腿裤,19881,89,1535,4032,541,2273
2024-04-19,天猫,母婴,纸尿裤,6326,38,528,1318,70,1821
2024-11-08,天猫,美妆,眼影盘,31832,104,1192,2821,1575,3309
2024-12-29,快手,男装,商务衬衫,1596,13,222,534,103,801
2024-06-04,天猫,家居,四件套,7682,67,1203,3314,252,2938
2024-08-02,京东,母婴,婴儿车,3669,20,327,970,58,895
2024-07-12,京东,食品,咖啡豆,6436,61,1013,3915,112,2251
2024-12-31,京东,母婴,儿童玩具,7467,226,2381,4738,150,1982
2024-09-05,抖音,男装,商务衬衫,7202,52,834,3312,476,2313
2024-06-13,天猫,食品,零食大礼包,8306,120,1465,5466,218,2377
2024-08-21,抖音,美妆,眼影盘,6978,43,676,1627,949,3598
2024-12-07,抖音,女装,阔腿裤,11108,88,1078,1677,683,4299
2024-08-24,京东,男装,牛仔裤,5689,51,867,2798,403,1292
2024-05-07,天猫,家居,台灯,14413,97,1580,3185,220,5078
2024-11-08,天猫,数码,充电宝,50987,127,1238,4687,749,5624
2024-05-01,京东,美妆,口红套装,9135,54,926,3059,1014,1919
2024-02-24,拼多多,运动户外,护膝,2525,21,281,535,169,988
2024-12-30,天猫,家居,台灯,9516,50,744,1924,213,1895
2024-08-16,天猫,运动户外,瑜伽垫,5316,57,916,3577,342,1153
2024-10-29,天猫,运动户外,运动水壶,6936,48,700,2261,467,2168
2024-03-29,拼多多,数码,蓝牙耳机,9966,77,755,2204,564,7945
2024-04-26,拼多多,男装,休闲夹克,5624,53,818,1339,322,2762
2024-04-12,天猫,家居,收纳柜,7546,32,539,1523,213,2042
2024-02-08,京东,家居,地毯,4602,75,990,2541,475,3519
2024-08-14,抖音,女装,羽绒服,10180,84,1342,5361,692,3354
2024-11-13,京东,家居,香薰蜡烛,12747,104,1599,3353,93,1648
2024-06-06,抖音,数码,无线鼠标,10706,82,971,3106,307,3148
2024-03-01,天猫,家居,收纳柜,9366,76,913,3281,205,1851
2024-12-31,天猫,男装,休闲夹克,7507,53,757,1544,458,1741
2024-08-28,天猫,食品,零食大礼包,8005,67,1137,3022,179,1670
2024-03-29,拼多多,家居,台灯,2631,31,332,893,42,1026
2024-06-18,抖音,数码,无线鼠标,8353,52,547,827,399,5228
2024-02-06,天猫,数码,无线鼠标,5822,90,1535,4494,676,3515
2024-08-24,拼多多,家居,香薰蜡烛,9038,64,958,3065,303,3759
2024-01-07,抖音,运动户外,跑步鞋,4900,56,864,1643,322,1548
2024-01-12,天猫,美妆,口红套装,10625,86,911,2810,1104,2170
2024-11-21,天猫,女装,春季连衣裙,11245,85,1217,4661,542,2082
2024-12-17,抖音,运动户外,跑步鞋,5132,32,407,669,147,1601
2024-09-26,快手,运动户外,登山包,4287,22,260,432,283,4775
2024-02-27,天猫,男装,休闲夹克,4653,41,653,2111,201,1746
2024-03-24,拼多多,美妆,精华液,9138,70,1160,4537,1151,4790
2024-09-13,京东,数码,充电宝,9069,51,848,2275,532,3462
2024-05-24,天猫,男装,牛仔裤,7492,52,741,1354,239,2101
2024-02-15,京东,女装,春季连衣裙,6795,47,638,1316,359,1731
2024-04-26,拼多多,食品,巧克力,4657,64,947,2356,137,1977
2024-01-11,拼多多,母婴,纸尿裤,3876,39,352,740,115,2714
2024-03-20,京东,男装,商务衬衫,5819,48,540,1508,205,1888
2024-03-17,天猫,食品,零食大礼包,11806,83,698,2216,342,4220
2024-05-02,天猫,运动户外,跑步鞋,6765,50,757,2652,283,1350
2024-01-07,拼多多,家居,台灯,7310,40,336,641,205,3097
2024-01-12,天猫,男装,羽绒服,4103,25,317,1065,337,1083
2024-10-14,京东,家居,台灯,5915,35,469,1281,103,1831
2024-04-02,京东,男装,Polo衫,7902,72,1028,3431,601,2248
2024-02-19,抖音,家居,香薰蜡烛,7050,67,942,2820,273,2508
2024-08-30,拼多多,运动户外,登山包,2994,106,1734,3623,191,1619
2024-03-27,拼多多,食品,零食大礼包,5188,48,620,1313,142,2712
2024-08-18,京东,家居,四件套,12029,103,1089,3421,297,2819
2024-06-12,快手,食品,咖啡豆,4311,27,305,799,100,6015
2024-05-12,天猫,家居,四件套,9773,145,1710,5153,251,2379
2024-10-31,抖音,母婴,儿童玩具,4883,29,388,615,145,2796
2024-10-19,快手,女装,阔腿裤,9938,85,948,2624,430,7682
2024-06-29,京东,数码,充电宝,10129,72,951,2241,418,4130
2024-05-05,京东,数码,充电宝,13477,96,948,3154,353,4888
2024-03-26,天猫,数码,充电宝,14029,118,1232,4407,765,2887
2024-11-23,抖音,运动户外,跑步鞋,6262,84,1002,3134,189,2223
2024-07-10,天猫,运动户外,跑步鞋,5382,54,490,1531,340,1003
2024-01-19,抖音,数码,蓝牙耳机,12932,124,1457,3266,594,5996
2024-03-05,京东,食品,巧克力,8579,259,3616,10357,162,4006
2024-09-23,拼多多,数码,充电宝,9006,48,644,2497,485,3382
2024-08-08,京东,食品,零食大礼包,4170,33,421,1046,87,994
2024-12-29,快手,女装,阔腿裤,7869,58,1001,1652,903,4960
2024-10-16,天猫,家居,地毯,7227,96,1538,4380,175,1660
2024-05-25,京东,运动户外,瑜伽垫,6378,56,829,1619,326,2341
2024-11-07,抖音,男装,Polo衫,10007,35,565,1375,246,2321
2024-05-20,拼多多,母婴,儿童玩具,3215,34,479,1210,86,1825
2024-07-26,拼多多,美妆,眼影盘,7924,81,991,3140,471,3604
2024-08-29,天猫,男装,Polo衫,6125,44,394,614,419,1410
2024-06-08,拼多多,美妆,防晒霜,8067,36,643,1183,964,4367
2024-05-04,拼多多,数码,数据线,12346,73,830,3123,628,7602
2024-08-16,抖音,男装,商务衬衫,4221,59,512,1432,143,1361
2024-01-27,拼多多,美妆,面霜,5990,40,502,991,330,3317
2024-04-11,拼多多,数码,数据线,9216,100,1757,3405,438,6057
2024-07-26,京东,食品,茶叶礼盒,9352,131,2090,7979,137,2906
2024-04-13,天猫,数码,数据线,21478,294,2625,5624,1106,4156
2024-09-28,京东,男装,羽绒服,6186,93,825,3169,391,2093
2024-06-28,天猫,运动户外,瑜伽垫,6964,57,739,2941,470,2270
2024-08-26,京东,家居,地毯,10821,100,1668,5862,418,3664
2024-03-13,京东,女装,阔腿裤,7823,45,799,2478,827,3165
2024-11-05,京东,家居,四件套,29645,83,809,2229,319,4724
2024-04-26,天猫,食品,茶叶礼盒,8654,70,862,1964,174,2273
2024-11-11,抖音,女装,阔腿裤,29865,71,675,1116,1223,4937
2024-05-09,京东,数码,蓝牙耳机,9138,83,725,2506,279,3517
2024-09-08,拼多多,家居,四件套,6126,67,652,2046,247,2596
2024-04-25,京东,数码,手机壳,9338,198,3222,10742,474,4382
2024-03-02,京东,女装,羽绒服,11397,84,1121,2284,466,4106
2024-07-31,天猫,女装,真丝衬衫,7522,84,1214,3336,460,2614
2024-07-14,抖音,男装,休闲夹克,2673,26,310,821,206,813
2024-04-14,天猫,数码,蓝牙耳机,15274,79,833,3000,328,2889
2024-10-03,抖音,食品,咖啡豆,3586,33,557,1462,99,2095
2024-03-27,拼多多,女装,春季连衣裙,8627,51,817,1440,369,4284
2024-08-19,京东,美妆,口红套装,8201,49,593,1704,1091,3577
2024-05-17,天猫,女装,真丝衬衫,12021,93,955,3762,1122,4940
2024-10-18,拼多多,母婴,纸尿裤,3873,27,457,1053,48,1977
2024-09-14,拼多多,家居,香薰蜡烛,7931,95,850,2073,249,4353
2024-04-23,快手,男装,羽绒服,3875,19,154,613,272,2522
2024-02-08,抖音,运动户外,瑜伽垫,1191,20,355,1196,157,1600
2024-08-11,天猫,家居,收纳柜,12883,252,3850,6813,458,4782
2024-02-19,天猫,家居,香薰蜡烛,10341,55,764,2116,247,2457
2024-01-30,抖音,家居,地毯,6950,97,785,1661,255,1995
2024-04-13,天猫,运动户外,瑜伽垫,7669,121,1855,5639,263,2168
2024-01-13,京东,家居,台灯,8841,60,1054,2550,219,3512
2024-03-10,抖音,运动户外,登山包,7511,108,1706,3485,239,2657
2024-11-05,拼多多,女装,真丝衬衫,16125,89,1070,3943,521,2736
2024-08-16,拼多多,家居,香薰蜡烛,5970,64,895,2689,93,3480
2024-11-14,天猫,女装,羽绒服,32782,131,1729,4207,652,2758
2024-05-25,京东,女装,真丝衬衫,13826,96,1172,3621,1422,8529
2024-07-16,快手,数码,蓝牙耳机,9147,45,1012,2350,397,4752
2024-07-16,京东,美妆,防晒霜,8268,73,2171,4191,773,1749
2024-12-21,天猫,女装,针织开衫,14759,118,952,1564,856,5233
2024-02-26,抖音,数码,数据线,8224,101,1602,6307,286,3488
2024-08-04,抖音,女装,羽绒服,13643,67,767,1754,1388,8155
2024-06-08,拼多多,运动户外,护膝,4376,46,487,1620,324,2717
2024-05-10,拼多多,男装,商务衬衫,4689,39,549,1303,172,3251
2024-07-14,京东,女装,春季连衣裙,9847,80,1328,4391,447,2412
2024-01-17,拼多多,男装,休闲夹克,2870,24,418,1515,201,1479
2024-05-04,拼多多,美妆,眼影盘,8399,70,1115,3058,705,3236
2024-06-02,京东,数码,无线鼠标,12482,90,949,3669,529,2970
2024-03-06,天猫,食品,茶叶礼盒,7333,29,262,823,193,2027
2024-07-15,快手,男装,休闲夹克,3667,24,870,1362,178,1828
2024-08-25,京东,男装,Polo衫,5334,41,579,1394,447,2073
2024-08-07,天猫,男装,羽绒服,8033,56,623,2178,707,1562
2024-05-16,抖音,家居,四件套,7677,65,954,2944,153,2352
2024-08-10,拼多多,女装,羽绒服,11671,52,790,2943,540,4923
2024-07-07,京东,美妆,面霜,12965,127,2270,8519,1493,4351
2024-08-03,京东,母婴,儿童玩具,4247,33,301,517,103,1296
2024-02-03,京东,食品,零食大礼包,2514,31,426,1425,164,1408
2024-12-12,拼多多,女装,针织开衫,9350,124,1078,2088,1014,5980
2024-09-03,天猫,家居,香薰蜡烛,8793,64,742,1240,333,2372
2024-05-21,快手,男装,商务衬衫,4542,27,286,1077,319,3609
2024-03-31,京东,食品,茶叶礼盒,6705,62,751,2632,131,3118
2024-12-09,天猫,运动户外,跑步鞋,6498,59,916,3217,168,1185
2024-03-03,拼多多,家居,四件套,8736,84,766,2496,272,6449
2024-10-12,天猫,家居,香薰蜡烛,14399,261,2863,6441,537,5637
2024-03-08,抖音,运动户外,护膝,5294,41,403,684,195,1713
2024-06-06,京东,美妆,面霜,14182,92,968,1984,1401,3404
2024-07-19,快手,数码,蓝牙耳机,6047,31,830,1133,162,2472
2024-02-07,拼多多,数码,数据线,2869,53,548,1899,422,4427
2024-06-10,京东,运动户外,跑步鞋,6344,49,509,1361,301,1852
2024-12-20,天猫,家居,地毯,15562,171,2286,8310,256,3071
2024-12-18,京东,母婴,纸尿裤,5015,75,633,1389,132,1731
2024-01-17,天猫,美妆,精华液,10390,108,1867,3571,924,2194
2024-03-12,快手,数码,数据线,5883,36,546,2121,287,2532
2024-06-22,天猫,美妆,精华液,18520,119,1088,2676,1770,5171
2024-05-26,拼多多,家居,四件套,8459,74,1086,3471,218,5901
2024-09-22,京东,女装,春季连衣裙,16345,124,1889,3402,1833,7149
2024-12-15,天猫,女装,真丝衬衫,13937,316,4351,7002,694,3328
2024-08-10,京东,母婴,儿童玩具,9023,85,1023,1732,188,1999
2024-01-30,京东,母婴,奶瓶,8852,138,2151,3758,246,4147
2024-11-08,天猫,食品,零食大礼包,17982,101,952,3546,121,2485
2024-06-05,京东,食品,咖啡豆,6050,54,653,1487,142,1593
2024-06-24,天猫,运动户外,跑步鞋,5800,42,393,687,205,1081
2024-08-21,京东,美妆,防晒霜,5314,50,850,1521,773,1783
2024-03-27,京东,运动户外,跑步鞋,5138,37,438,1029,267,2029
2024-10-31,京东,男装,羽绒服,5822,34,374,803,242,2574
2024-01-21,快手,家居,收纳柜,7513,104,1871,3510,296,9810
2024-09-29,拼多多,美妆,精华液,7858,44,673,1258,1062,3361
2024-05-26,天猫,家居,台灯,12797,67,1118,2042,495,6856
2024-07-02,天猫,运动户外,登山包,4450,36,559,1525,178,1120
2024-03-15,天猫,数码,手机壳,6711,27,371,1359,397,1811
2024-06-23,抖音,家居,地毯,9366,78,670,1010,320,4466
2024-11-23,天猫,运动户外,运动水壶,8500,100,1562,5971,225,1637
2024-10-24,拼多多,家居,香薰蜡烛,5059,32,323,1257,77,1809
2024-09-20,快手,女装,阔腿裤,7938,56,862,1600,795,3629
2024-05-07,抖音,运动户外,运动水壶,3491,27,347,587,158,1508
2024-12-23,京东,家居,香薰蜡烛,12595,86,693,1214,517,3141
2024-05-24,京东,母婴,儿童玩具,6359,71,1041,2110,173,2958
2024-08-02,快手,食品,咖啡豆,4546,42,689,1979,65,7250
2024-02-22,京东,数码,蓝牙耳机,15437,113,1416,5031,651,3974
2024-01-14,京东,男装,羽绒服,8155,46,607,1127,624,2851
2024-04-28,天猫,运动户外,瑜伽垫,5464,34,408,716,188,1113
2024-09-30,天猫,数码,充电宝,6935,67,1166,1990,396,1374
2024-04-16,天猫,母婴,儿童玩具,7579,60,1045,2670,132,1404
2024-06-27,天猫,数码,充电宝,17057,137,2252,7183,436,5307
2024-08-22,拼多多,运动户外,登山包,3944,45,784,1703,192,1780
2024-10-19,天猫,美妆,眼影盘,12958,79,719,2218,1646,5378
2024-01-13,京东,母婴,婴儿湿巾,8262,111,1412,5224,118,2066
2024-06-21,天猫,食品,茶叶礼盒,6010,36,520,1293,145,1978
2024-12-21,天猫,女装,羽绒服,8122,65,1063,1633,571,2334
2024-12-02,天猫,食品,坚果礼盒,6030,36,614,1330,147,1157
2024-07-06,京东,数码,数据线,12928,142,1322,4815,556,5587
2024-06-23,抖音,女装,羽绒服,14158,162,1657,5144,1212,5370
2024-05-14,抖音,数码,手机壳,11802,71,774,1561,307,3577
2024-06-05,天猫,食品,茶叶礼盒,6345,53,931,3590,163,1138
2024-11-26,快手,女装,春季连衣裙,7832,92,1306,4884,844,5106
2024-12-04,天猫,母婴,儿童玩具,8705,110,1165,2752,246,2614
2024-07-06,京东,女装,针织开衫,14683,115,1491,3094,639,4498
2024-08-13,天猫,家居,地毯,9858,72,1244,4232,309,3311
2024-08-10,天猫,男装,羽绒服,10402,88,1297,2389,933,2545
2024-12-16,天猫,运动户外,登山包,3458,25,309,922,99,787
2024-06-02,天猫,母婴,婴儿车,7852,55,977,3315,103,1999
2024-12-17,京东,男装,牛仔裤,4687,33,450,1543,280,2196
2024-03-14,抖音,食品,茶叶礼盒,6665,96,981,2260,179,2253
2024-03-31,天猫,男装,羽绒服,12809,116,1065,2366,690,2397
2024-05-08,天猫,数码,蓝牙耳机,11768,91,757,1244,444,3585
2024-01-17,抖音,美妆,眼影盘,4276,23,378,1419,588,1239
2024-12-08,京东,男装,商务衬衫,8549,100,1024,2640,625,2324
2024-05-28,京东,数码,手机壳,12480,166,2828,10222,449,4417
2024-10-05,京东,食品,茶叶礼盒,7356,83,909,2712,78,1895
2024-11-19,天猫,运动户外,跑步鞋,7582,72,1177,2742,452,1557
2024-01-04,天猫,运动户外,护膝,4935,93,778,1415,312,2056
2024-09-05,天猫,美妆,精华液,7689,101,1040,1563,945,1399
2024-02-07,拼多多,家居,四件套,2248,34,374,865,204,2242
2024-07-24,天猫,美妆,眼影盘,14413,282,4120,6988,1505,3086
2024-06-10,抖音,家居,收纳柜,6615,31,360,1394,224,3758
2024-12-22,天猫,家居,四件套,8382,74,725,1265,327,3003
2024-06-15,抖音,美妆,面霜,8573,60,687,1606,1267,2668
2024-03-03,抖音,数码,无线鼠标,13481,92,1086,2071,693,4540
2024-12-04,抖音,女装,针织开衫,10962,81,726,2103,877,3763
2024-06-16,天猫,家居,收纳柜,8889,75,1321,4340,387,2843
2024-02-12,抖音,男装,Polo衫,1265,19,307,845,108,1487
2024-04-23,抖音,运动户外,瑜伽垫,3604,36,355,550,160,1914
2024-05-19,拼多多,美妆,精华液,8795,56,586,1400,513,5073
2024-08-01,京东,女装,真丝衬衫,9084,68,1075,3722,800,1864
2024-10-06,天猫,食品,坚果礼盒,9534,87,1546,2717,199,1723
2024-06-17,拼多多,数码,蓝牙耳机,9216,148,1293,3896,374,3865
2024-01-02,天猫,数码,充电宝,11801,92,805,3122,376,4379
2024-04-17,京东,女装,针织开衫,24661,85,1198,2734,845,3630
2024-03-05,天猫,食品,巧克力,7267,55,763,2481,171,1960
2024-10-27,拼多多,美妆,眼影盘,9813,55,846,1723,1143,4914
2024-10-09,京东,女装,阔腿裤,11248,85,1115,2894,1346,4102
2024-02-12,拼多多,男装,Polo衫,1926,65,1051,1707,407,3861
2024-08-12,天猫,美妆,面霜,10382,114,1747,5270,1217,3903
2024-10-30,京东,运动户外,运动水壶,2867,24,380,947,145,1020
2024-03-31,京东,女装,针织开衫,8659,81,1295,3022,945,1857
2024-02-06,拼多多,母婴,婴儿车,1949,44,632,2265,97,2370
2024-04-16,快手,女装,针织开衫,16628,76,1063,2128,805,5541
2024-12-28,京东,运动户外,跑步鞋,5786,32,465,1000,190,2269
2024-05-12,抖音,运动户外,瑜伽垫,5583,44,653,1159,220,2633
2024-10-09,京东,家居,地毯,8202,65,1087,3880,176,1878
2024-02-05,拼多多,食品,零食大礼包,1809,53,717,1977,62,1757
2024-03-27,抖音,母婴,奶瓶,4431,37,405,1072,80,1505
2024-04-21,天猫,男装,羽绒服,10449,66,867,1650,365,4245
2024-08-22,拼多多,运动户外,瑜伽垫,2898,26,265,741,160,1819
2024-09-03,天猫,美妆,眼影盘,11242,92,1117,3780,1541,2458
2024-06-23,抖音,男装,休闲夹克,7898,71,1016,2876,291,2913
2024-11-15,快手,食品,零食大礼包,8350,27,422,1349,85,2453
2024-07-11,天猫,母婴,纸尿裤,4825,25,421,865,117,924
2024-11-05,拼多多,家居,四件套,18990,65,652,1185,179,3704
2024-12-04,抖音,食品,咖啡豆,5706,50,723,1112,89,2978
2024-05-15,抖音,食品,坚果礼盒,6715,48,645,2550,127,2657
2024-11-30,天猫,运动户外,瑜伽垫,5259,57,655,1592,149,1467
2024-02-29,拼多多,数码,手机壳,8587,58,946,3411,299,3883
2024-11-12,天猫,女装,真丝衬衫,32090,72,1139,3849,1338,3163
2024-07-27,天猫,男装,Polo衫,6886,48,477,1777,516,1297
2024-08-02,拼多多,食品,零食大礼包,5028,32,458,866,97,2143
2024-02-23,京东,家居,四件套,7132,77,943,3554,215,2715
2024-03-21,拼多多,女装,阔腿裤,8119,50,798,1739,774,5004
2024-06-14,拼多多,男装,羽绒服,4046,23,248,777,321,3109
2024-07-25,抖音,数码,数据线,12796,84,798,1630,493,6309
2024-04-05,天猫,家居,台灯,8746,49,490,1364,324,2303
2024-03-17,抖音,母婴,奶瓶,6715,43,759,2707,188,1994
2024-03-31,抖音,母婴,婴儿车,9432,131,1446,3318,275,2872
2024-10-30,京东,女装,针织开衫,7836,47,438,1217,316,1657
2024-07-15,抖音,家居,四件套,7548,47,1695,3863,144,2840
2024-02-17,拼多多,运动户外,瑜伽垫,4913,140,1416,5648,363,2194
2024-04-22,京东,运动户外,运动水壶,6518,62,564,2150,368,2893
2024-02-28,拼多多,家居,台灯,8412,62,998,2529,177,6635
2024-08-29,拼多多,母婴,婴儿湿巾,5415,35,573,2009,158,2631
2024-07-02,快手,运动户外,瑜伽垫,1970,13,223,659,107,1238
2024-05-29,拼多多,女装,针织开衫,7551,84,1412,5234,700,7363
2024-02-14,快手,数码,手机壳,2607,41,657,2623,138,4946
2024-08-26,拼多多,家居,地毯,5726,57,494,1945,226,2233
2024-12-15,京东,家居,台灯,10513,181,1934,3389,210,4184
2024-10-19,抖音,运动户外,登山包,6580,70,788,1771,240,3740
2024-02-08,京东,美妆,防晒霜,3504,65,742,2716,573,3757
2024-05-09,抖音,数码,无线鼠标,14882,129,1423,3243,299,8050
2024-12-08,天猫,食品,零食大礼包,6753,250,3812,11190,157,1381
2024-04-15,京东,家居,地毯,6194,61,786,2636,184,1793
2024-07-29,拼多多,女装,针织开衫,7872,86,1045,2909,883,3000
2024-08-16,京东,数码,数据线,20521,181,1863,5368,715,5191
2024-07-09,拼多多,男装,牛仔裤,3561,36,585,1295,304,1294
2024-03-12,京东,母婴,奶瓶,7490,89,1222,2864,222,3450
2024-10-13,天猫,运动户外,登山包,8162,48,744,1398,391,2316
2024-09-29,天猫,男装,牛仔裤,7021,78,1332,3556,407,1452
2024-09-28,拼多多,数码,蓝牙耳机,12261,97,1140,3728,478,5379
2024-04-03,天猫,美妆,口红套装,12588,98,1283,3532,692,5011
2024-11-08,京东,母婴,纸尿裤,16620,44,446,1043,128,1558
2024-03-12,快手,数码,手机壳,7454,43,666,1207,379,9439
2024-08-08,抖音,母婴,婴儿湿巾,5992,68,837,1438,93,2563
2024-12-09,天猫,运动户外,运动水壶,7500,39,566,1121,298,1711
2024-10-19,抖音,数码,充电宝,12649,87,1092,3489,527,5765
2024-07-06,快手,美妆,口红套装,6875,79,1303,2244,1025,6656
2024-07-26,京东,男装,牛仔裤,4473,34,601,1572,268,1602
2024-04-27,拼多多,数码,充电宝,9687,113,1033,3981,497,4993
2024-04-14,拼多多,食品,零食大礼包,5424,34,529,1183,86,3955
2024-09-02,天猫,男装,休闲夹克,8431,64,1038,2006,498,3039
2024-09-09,京东,美妆,眼影盘,11557,66,913,2259,988,5190
2024-12-29,拼多多,数码,充电宝,16583,129,1562,4532,956,12446
2024-07-21,抖音,女装,羽绒服,10235,64,1348,2853,594,3109
2024-01-02,拼多多,女装,阔腿裤,5486,44,427,1246,349,2030
2024-08-07,快手,美妆,面霜,3221,37,314,512,383,3331
2024-02-09,快手,家居,四件套,1195,18,292,1037,87,3391
2024-01-08,天猫,女装,针织开衫,12334,114,1320,4992,1051,4132
2024-03-12,抖音,母婴,奶瓶,3844,24,241,371,90,2325
2024-08-04,拼多多,运动户外,瑜伽垫,3209,29,422,1657,170,1369
2024-01-13,天猫,男装,牛仔裤,10566,61,629,2014,913,4143
2024-11-12,京东,运动户外,瑜伽垫,12247,55,667,2127,283,2133
2024-08-26,天猫,家居,香薰蜡烛,9837,166,2506,4358,241,1788
2024-06-07,快手,男装,Polo衫,4140,28,400,1003,311,4037
